Date,valor
2006-05-07,0.0011060650454145912
2006-05-14,0.0013848690236307015
2006-05-21,0.0014720960890581515
2006-05-28,0.002221344286001804
2006-06-04,0.005390577887599465
2006-06-11,0.0012274722735674676
2006-06-18,0.002331766937398832
2006-06-25,0.006936127744510978
2006-07-02,0.0024864957558089684
2006-07-09,0.0032198846086601784
2006-07-16,0.0017125821933737869
2006-07-23,0.004719772323818648
2006-07-30,0.003071482412945312
2006-08-06,0.0017864175997299274
2006-08-13,0.0026154819658299935
2006-08-20,0.0004935729747643189
2006-08-27,0.002224709866659109
2006-09-03,0.009951117318435754
2006-09-10,0.0007339476208470192
2006-09-17,0.004888853268828643
2006-09-24,0.004894166387069481
2006-10-01,0.0013133892739875957
2006-10-08,0.0045566502463054185
2006-10-15,0.005931687815053016
2006-10-22,0.00695309557609294
